699,10,50,8.2,46.7
700,19,66.2,19,66.2
701,19,66.2,19,66.2
702,19.4,66.9,19.4,66.9
703,25.4,77.7,28.7,83.7
704,15,59,14.9,58.8
705,23,73.4,24.9,76.8
706,22,71.6,24.5,76.1
707,14,57.2,13.9,57
708,14,57.2,11.2,52.2
709,34,93.2,43.9,110.9
710,28,82.4,29.3,84.7
711,26,78.8,30.3,86.6
712,19.9,67.8,19.9,67.8
713,14,57.2,13.9,57
714,12,53.6,11.4,52.6
715,30,86,35.4,95.6
716,26.3,79.3,27.5,81.5
717,29,84.2,34.4,93.8
718,32.7,90.9,32.9,91.2
719,28,82.4,33.1,91.5
720,25,77,26.5,79.7
721,31.4,88.5,31.9,89.4
722,18.7,65.7,18.7,65.7
723,27,80.6,31.2,88.1
724,12,53.6,10.9,51.6
725,19,66.2,19,66.2
726,36,96.8,41.7,107
727,19,66.2,19,66.2
728,16,60.8,16,60.8
729,22,71.6,24.6,76.2
730,29,84.2,34,93.1
731,28,82.4,32.5,90.4
732,29.1,84.4,33.8,92.8
733,30,86,35,95
734,19,66.2,19,66.2
735,14,57.2,13.6,56.4
736,30,86,28.3,82.9
737,28,82.4,32,89.6
738,19,66.2,19,66.2
739,26.2,79.2,28.5,83.3
740,25.5,77.9,28.3,82.9
741,28,82.4,32.3,90.2
742,14,57.2,13.7,56.7
743,14,57.2,14.7,58.4
744,27,80.6,30.3,86.5
745,24.6,76.3,26.8,80.2
746,12,53.6,12.1,53.8
747,22,71.6,24.6,76.2
748,23.5,74.3,25.4,77.7
749,22,71.6,23,73.3
750,24,75.2,26.1,78.9
751,30.5,86.9,32.2,90
752,24,75.2,26,78.7
753,12,53.6,11.7,53.1
754,15,59,15.6,60.1
755,23,73.4,24.4,75.9
756,19,66.2,19,66.2
757,18.5,65.3,18.5,65.3
758,27,80.6,29.3,84.8
759,20.1,68.2,20.1,68.2
760,19.4,66.9,19.4,66.9
761,25,77,26.7,80
762,27,80.6,30.5,86.9
763,21,69.8,21,69.8
764,24,75.2,25.4,77.6
765,21,69.8,21,69.8
766,33,91.4,45.3,113.5
767,21,69.8,21,69.8
768,12.5,54.5,11.7,53.1
769,33,91.4,42.9,109.2
770,15,59,15.8,60.4
771,18.3,64.9,18.3,64.9
772,10,50,8.5,47.3
773,16,60.8,16,60.8
774,27,80.6,30.8,87.4
775,27,80.6,31.7,89
776,26,78.8,28.3,83
777,17.1,62.8,17.1,62.8
778,17.2,63,17.2,63
779,14.1,57.4,14.4,57.9
780,18.5,65.3,18.6,65.5
781,18,64.4,18,64.4
782,24,75.2,25.7,78.3
783,9,48.2,8.5,47.3
784,21,69.8,21,69.8
785,29,84.2,33.7,92.6
786,17,62.6,17,62.6
787,25,77,25.7,78.2
788,7,44.6,6.5,43.6
789,18,64.4,18,64.4
790,24,75.2,25.5,77.9
791,30,86,38.6,101.4
792,34,93.2,41.5,106.7
793,28.6,83.5,33.7,92.7
794,27,80.6,30.2,86.3
795,10,50,8.3,46.9
796,16,60.8,16,60.8
797,31,87.8,35.7,96.3
798,26,78.8,29.4,85
799,12.4,54.3,12.4,54.3
800,17.8,64,17.9,64.2
801,13,55.4,13.5,56.2
802,18.1,64.6,18.1,64.6
803,31.5,88.7,32,89.6
804,25,77,27.8,82.1
805,19,66.2,19,66.2
806,27,80.6,29.4,84.9
807,22.1,71.8,24.6,76.3
808,19.8,67.6,19.8,67.6
809,28,82.4,33.7,92.6
810,28,82.4,32.6,90.8
811,18.5,65.3,18.6,65.5
812,21,69.8,21,69.8
813,24,75.2,26.6,79.9
