461,223.6,11.6,4.9,4.2,1.4,5.8,1,1
462,423.9,26.5,11.7,6.7,4.6,9.5,1,1
463,474,2,21.3,0.5,14.1,19,1,2
464,567.4,62.9,7.4,3.6,15.8,21.2,2,2
465,403.9,4,52.8,9.9,23.7,25.8,2,2
466,237,64.4,0.3,0.3,0.5,1.2,1,1
467,701,10,24.3,8.5,47.4,97.9,3,5
468,7370,0,59.6,21,347,468.1,6,10
469,213.6,32.5,39.1,17.9,10,25.4,1,1
470,340.5,71.5,15.6,5.8,17.7,52.4,2,2
471,237,50.8,7.4,2.6,2.2,4.6,1,1
472,347.1,20.2,56.9,5.3,19.4,30.2,2,2
473,474,2,21.3,0.5,14.1,19,1,2
474,534.1,28.6,6.9,6.2,4,11.9,1,1
475,200.3,15.9,22.3,30.5,13.3,24.2,1,2
476,223.6,52.2,8.8,4.8,15.4,26.5,1,2
477,223.6,44,3,6.7,1,3.4,1,1
478,460.6,35.8,4.1,3.9,6.5,14.9,1,1
479,166.9,8.6,0,0.1,1.3,2.9,1,1
480,267,144.5,3.9,4.5,26.2,79.7,2,3
481,210.3,73,1.4,1.1,4.4,8.2,1,1
482,487.3,21.8,6.9,1.2,19.8,33.4,2,2
483,220.3,28.6,3.6,0.6,5.1,5.2,1,1
484,233.7,83.7,2,3.2,20.6,30.3,2,2
485,627.5,29.3,12.5,4.5,55.2,64,3,7
486,320.4,36.5,0.3,0.2,2.2,3.3,1,1
